Class,Tags,Combined,Archetype,id,Level,Class Ability,Description,Img
Barbarian,"[[""Barbarian""],[""Wildborn""]]",Barbarian (Wildborn),Wildborn,,1,Illiteracy,"<p>A wildborn cannot read or write. She can learn to read or write a language only if she takes a level in another class, and even then only by taking 1 or more ranks in Linguistics.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Feral Gnasher""]]",Barbarian (Feral Gnasher),Feral Gnasher,<barbarianragepowers_2,2,Impromptu Armament (Ex),"<p>At 2nd level, a feral gnasher gains Throw Anything as a bonus feat and can pick up an unattended object that can be wielded in one hand as a free action. Additionally, the feral gnasher can take Catch Off-Guard in place of a rage power. This replaces the rage power gained at second level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Armored Hulk""]]",Barbarian (Armored Hulk),Armored Hulk,<barbarianimproveduncannydodge_5,5,Improved Armored Swiftness,"<p>At 5th level, an armored hulk&#146;s land speed is faster than the norm for her race by +10 feet. This benefit applies when she is wearing any armor, including heavy armor, but not while carrying a heavy load. Apply this bonus before modifying the armored hulk&#146;s speed because of any load carried or armor worn. This bonus stacks with any other bonuses to the barbarian&#146;s land speed. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Feral Gnasher""]]",Barbarian (Feral Gnasher),Feral Gnasher,<barbariantrapsense_6,6,Improved Lockjaw (Ex),"<p>At 6th level, as long as a feral gnasher is controlling the grapple with her lockjaw attack, she does not gain the grappled condition, but is unable to move or use her mouth for anything other than grappling. This ability replaces trap sense +2.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Brutal Pugilist""]]",Barbarian (Brutal Pugilist),Brutal Pugilist,<barbarianimproveduncannydodge_5,5,Improved Savage Grapple (Ex),"<p>At 5th level, the brutal pugilist takes no penalties to Dexterity, attack rolls, and combat maneuver checks when she has the grappled condition. SShe also is treated as one size larger than her actual size when determining whether she can be grappled using the grab ability or swallowed by another creature</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Drunken Rager""]]",Barbarian (Drunken Rager),Drunken Rager,<barbarianimproveduncannydodge_5,5,Improved Staggering Evasion (Ex),"<p>At 5th level, as long as she has at least 2 drunken rage points, a drunken rager gains improved evasion, as the rogue advanced talent of the same name. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Scarred Rager""]]",Barbarian (Scarred Rager),Scarred Rager,<barbarianimproveduncannydodge_5,5,Improved Tolerance,"<p>At 5th level, a scarred rager&#146;s tolerance ability also applies to effects that would cause her to become dazed, frightened, shaken, or stunned. This replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Feral Gnasher""]]",Barbarian (Feral Gnasher),Feral Gnasher,<barbarianuncannydodge_2,2,Improvised Weapon Mastery (Ex),"<p>At 5th level, a feral gnasher gains Improvised Weapon Mastery as a bonus feat. This replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Pack Hunter""]]",Barbarian (Pack Hunter),Pack Hunter,<barbariantrapsense_3,3,In and Out (+1),"<p>At 3rd level, a pack hunter gains a +1 dodge bonus to AC against attacks of opportunity. This bonus increases by 1 for every 3 barbarian levels after 3rd (to a maximum bonus of +6 at 18th level).</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Armored Hulk""]]",Barbarian (Armored Hulk),Armored Hulk,<barbarianfastmovement_1,1,Indomitable Stance (Ex),"<p>An armored hulk gains a +1 bonus on combat maneuver checks and to CMD for overrun combat maneuvers, and on Reflex saves against trample attacks. She also gains a +1 bonus to her AC against charge attacks and on attack and damage rolls against charging creatures. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Dreadnought""]]",Barbarian (Dreadnought),Dreadnought,<barbariantirelessrage_17,17,Instant Dispassion (Ex),"<p>At 17th level, a dreadnought can quickly turn her compassion on and off. She can enter a rage as soon as she wants after ending a previous rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Raging Cannibal""]]",Barbarian (Raging Cannibal),Raging Cannibal,<barbariantrapsense_3,3,Intimidating Gouge (Ex),"<p>At 3rd level, when a raging cannibal confirms a critical hit against a creature of the same creature type as herself with her bite attack while raging, she gains a bonus on Intimidate checks equal to half her barbarian level for the duration of the rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Fearsome Defender""]]",Barbarian (Fearsome Defender),Fearsome Defender,<barbarianfastmovement_1,1,Intractable (Ex),"<p>A combination of brainwashing and loyalty helps a fearsome defender resist pain and torture, enduring grueling combat or questioning without betraying her dark lord. A fearsome defender gains a +2 bonus on saving throws against painUM effects, and the DCs of checks to coerce her or demoralize her with Diplomacy or Intimidate increase by 2. Both the bonus and the increase to DCs increase by 2 when she gains greater rage and again by 2 when she gains mighty rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Invulnerable Rager""]]",Barbarian (Invulnerable Rager),Invulnerable Rager,<barbarianuncannydodge_2,2,Invulnerability (Ex),"<p>At 2nd level, the invulnerable rager gains DR/&#151; equal to half her barbarian level. This damage reduction is doubled against nonlethal damage. This ability replaces uncanny dodge, improved uncanny dodge, and damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Titan Mauler""]]",Barbarian (Titan Mauler),Titan Mauler,<barbarianuncannydodge_2,2,Jotungrip (Ex),"<p>At 2nd level, a barbarian gains the ability to react to danger before her senses would normally allow her to do so. She cannot be caught flat-footed, even if the attacker is invisible. She still loses her Dexterity bonus to AC if immobilized. A barbarian with this ability can still lose her Dexterity bonus to AC if an opponent successfully uses the feint action against her.If a barbarian already has uncanny dodge from a different class, she automatically gains improved uncanny dodge (see below) instead.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Jungle Rager""]]",Barbarian (Jungle Rager),Jungle Rager,<barbariantrapsense_3,3,Jungle Endurance (+1),"<p>At 3rd level, a jungle rager gains a +1 bonus on Fortitude saves to resist the effects of hot weather and diseases. This bonus increases by +1 every 3 barbarian levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Superstitious""]]",Barbarian (Superstitious),Superstitious,<barbariandamagereduction_16,16,Keen Senses (Blindsense 30ft.),"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Superstitious""]]",Barbarian (Superstitious),Superstitious,<barbariandamagereduction_19,19,Keen Senses (Blindsight 30ft.),"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Superstitious""]]",Barbarian (Superstitious),Superstitious,<barbariandamagereduction_10,10,Keen Senses (Darkvision),"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Superstitious""]]",Barbarian (Superstitious),Superstitious,<barbariandamagereduction_7,7,Keen Senses (Low-light Vision),"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Superstitious""]]",Barbarian (Superstitious),Superstitious,<barbariandamagereduction_13,13,Keen Senses (Scent),"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Feral Gnasher""]]",Barbarian (Feral Gnasher),Feral Gnasher,<barbariantrapsense_3,3,Lockjaw (Ex),"<p>At 3rd level, a feral gnasher gains the grab ability with her bite attack. A feral gnasher can use this ability on a creature up to one size category larger than she is. This replaces trap sense +1.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sea Reaver""]]",Barbarian (Sea Reaver),Sea Reaver,<barbarianfastmovement_1,1,Marine Terror,"<p>A sea reaver can hold her breath for a number of rounds equal to four times her Constitution score. In addition, a sea reaver can move normally though squares of standing water or bog that is 1 foot deep. It does not cost her extra movement to traverse these terrains. Lastly, a sea reaver ignores the normal cover bonus to AC when attacking creatures that are partially immersed in water. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Brutish Swamper""]]",Barbarian (Brutish Swamper),Brutish Swamper,<barbarianfastmovement_1,1,Marsh March (Ex),"<p>A brutish swamper can move through the underbrush and muddy terrain of bogs and swamps at her normal speed without taking damage or suffering other impairments. Briars, mud, thorns, and overgrown areas that have been magically manipulated to impede motion, however, still affect her.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Titan Mauler""]]",Barbarian (Titan Mauler),Titan Mauler,<barbariantrapsense_3,3,Massive Weapons (+1),"<p>At 3rd level, a titan mauler becomes skilled in the use of massive weapons looted from her titanic foes. She can use two-handed weapons meant for creatures one size category larger, but the penalty for doing so is increased by 4. However, the attack roll penalty for using weapons too large for her size is reduced by 1, and this reduction increases by 1 for every three levels beyond 3rd (to a minimum of 0). This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Urban Barbarian""]]",Barbarian (Urban Barbarian),Urban Barbarian,<barbarianmightyrage_20,20,Mighty Conrtolled rage,"<p>At 20th level, when a barbarian enters a controlled rage, the morale bonus to her Strength, Dexterity, or Constitution increases to +8.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mooncursed""]]",Barbarian (Mooncursed),Mooncursed,<barbarianmightyrage_20,20,Mighty Shifting Rage,"<p>At 20th level, a mooncursed can assume even larger alternate and hybrid forms. This functions like beast shape III, and it allows the mooncursed to take on a Medium, Large, or Huge version of her animal&#146;s form.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Shoanti Burn Rider""]]",Barbarian (Shoanti Burn Rider),Shoanti Burn Rider,<barbarianragepowers_4,4,Mount,"<p>At 4th level, a burn rider gains a loyal mount. This ability functions like the druid&#146;s animal companion ability (as described in the nature bond class feature), except that the burn rider always gains a horse or pony (though she can gain additional options at the GM&#146;s discretion) and her effective druid level is equal to her Shoanti burn rider level &#150; 3. This ability replaces the rage powers gained at 4th, 8th, 12th, and 16th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Savage Barbarian""]]",Barbarian (Savage Barbarian),Savage Barbarian,<barbariantrapsense_3,3,Naked Courage (+1),"<p>At 3rd level, the savage barbarian gains a +1 dodge bonus to AC and a +1 morale bonus on saving throws against fear when wearing no armor (shields are allowed). This bonus increases by +1 for every six levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Savage Barbarian""]]",Barbarian (Savage Barbarian),Savage Barbarian,<barbariandamagereduction_7,7,Natural Toughness (+1),"<p>At 7th level, the savage barbarian gains a +1 natural armor bonus to AC when wearing no armor (shields are allowed). This bonus increases by +1 for every three levels beyond 7th. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sharptooth""]]",Barbarian (Sharptooth),Sharptooth,<barbariantrapsense_3,3,Ocean Breath (+1),"<p>At 3rd level, a sharptooth counts her Constitution score as 1 higher for the purposes of holding her breath. She also gains a +1 bonus on Constitution checks to continue holding her breath. This bonus and the addition to her effective Constitution score both increase by 1 at 6th level and every 3 levels thereafter, to a maximum bonus of +6 at 18th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Fearsome Defender""]]",Barbarian (Fearsome Defender),Fearsome Defender,<barbarianuncannydodge_2,2,Off the Leash (Ex),"<p>Beginning at 2nd level, a fearsome defender simmers on the edge of bloody combat. Whenever she begins a rage, she can also draw an unconcealed weapon as part of the free action to begin raging.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Flesheater""]]",Barbarian (Flesheater),Flesheater,<barbarianuncannydodge_2,2,One Flesh (Su),"<p>At 2nd level when entering a rage, a flesheater can spend an additional round of rage and take an additional &#150;2 penalty to Intelligence to take on a single ability of the valid consumed creature whose flesh she ate most recently. For the purpose of this ability, a valid consumed creature is any dead animal, dragon, humanoid, or magical beast that died and was consumed by the flesheater within the past 24 hours. She can choose any ability listed under beast shape I, as long as the creature possessed that ability. At 5th level, the flesheater can take on any number of the creature&#146;s abilities that are listed under beast shape I. At 8th level, the flesheater can instead take on one of the creature&#146;s abilities listed under beast shape II. The flesheater&#146;s appearance alters to resemble the consumed creature, but she does not change shape. This is a polymorph effect. This ability replaces uncanny dodge, improved uncanny dodge, and the 2nd- and 8th-level rage powers.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mad Dog""]]",Barbarian (Mad Dog),Mad Dog,<barbarianuncannydodge_2,2,Pack Tactics (Ex),"<p>At 2nd level, a mad dog and her war beast gain a +4 bonus on attack rolls while flanking the same opponent (instead of the normal +2 bonus). This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Brutal Pugilist""]]",Barbarian (Brutal Pugilist),Brutal Pugilist,<barbariantrapsense_3,3,Pit Fighter (+1),"<p>At 3rd level, the brutal pugilist has learned combat tricks from fighting in pit brawls and gladiatorial arenas. She selects one combat maneuver and gains a +1 insight bonus on her CMB or to her CMD in that maneuver. This bonus increases to +2 if the barbarian is wearing no armor (shields are allowed). At every three levels after 3rd, the barbarian may select another combat maneuver and add this bonus on her CMB or to her CMD. This bonus can be applied to each maneuver no more than twice, once on CMB and once to CMD.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Savage Technologist""]]",Barbarian (Savage Technologist),Savage Technologist,,3,Primal Magnetism,"<p>At 3rd level, a savage technologist adds her Strength modifier on Diplomacy checks when interacting with tribal cultures. She can expend 2 rounds of rage (even if not raging) to add a bonus equal to 1/2 his barbarian level on a Diplomacy check.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Flesheater""]]",Barbarian (Flesheater),Flesheater,<barbarianrage_1,1,Rage,"<p>A barbarian can call upon inner reserves of strength and ferocity, granting her additional combat prowess. Starting at 1st level, a barbarian can rage for a number of rounds per day equal to 4 + her Constitution modifier. At each level after 1st, she can rage for 2 additional rounds. Temporary increases to Constitution, such as those gained from rage and spells like <i>bear's endurance </i>, do not increase the total number of rounds that a barbarian can rage per day. A barbarian can enter rage as a free action. The total number of rounds of rage per day is renewed after resting for 8 hours, although these hours do not need to be consecutive.While in rage, a barbarian gains a +4 morale bonus to her Strength and Constitution, as well as a +2 morale bonus on Will saves. In addition, she takes a -2 penalty to Armor Class. The increase to Constitution grants the barbarian 2 hit points per Hit Dice, but these disappear when the rage ends and are not lost first like temporary hit points. While in rage, a barbarian cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration.A barbarian can end her rage as a free action and is fatigued after rage for a number of rounds equal to 2 times the number of rounds spent in the rage. A barbarian cannot enter a new rage while fatigued or exhausted but can otherwise enter rage multiple times during a single encounter or combat. If a barbarian falls unconscious, her rage immediately ends, placing her in peril of death.</p><p>In additional to the standard bonuses and penalties of rage, a flesheater takes a &#150;2 penalty to Intelligence while raging. The additional benefits and penalties from a flesheater&#146;s abilities last only as long as her rage does, and she cannot use these abilities if they would bring the total penalty to Intelligence to an amount equal to or greater than her Intelligence score. This ability alters the rage ability.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mad Dog""]]",Barbarian (Mad Dog),Mad Dog,<barbarianrage_1,4,Rage,"<p>A mad dog gains this ability at 4th level, except that her effective barbarian level for the ability is equal to her barbarian level &#150; 3.</p><p>A barbarian can call upon inner reserves of strength and ferocity, granting her additional combat prowess. Starting at 1st level, a barbarian can rage for a number of rounds per day equal to 4 + her Constitution modifier. At each level after 1st, she can rage for 2 additional rounds. Temporary increases to Constitution, such as those gained from rage and spells like <i>bear's endurance </i>, do not increase the total number of rounds that a barbarian can rage per day. A barbarian can enter rage as a free action. The total number of rounds of rage per day is renewed after resting for 8 hours, although these hours do not need to be consecutive.While in rage, a barbarian gains a +4 morale bonus to her Strength and Constitution, as well as a +2 morale bonus on Will saves. In addition, she takes a -2 penalty to Armor Class. The increase to Constitution grants the barbarian 2 hit points per Hit Dice, but these disappear when the rage ends and are not lost first like temporary hit points. While in rage, a barbarian cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration.A barbarian can end her rage as a free action and is fatigued after rage for a number of rounds equal to 2 times the number of rounds spent in the rage. A barbarian cannot enter a new rage while fatigued or exhausted but can otherwise enter rage multiple times during a single encounter or combat. If a barbarian falls unconscious, her rage immediately ends, placing her in peril of death.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Savage Technologist""]]",Barbarian (Savage Technologist),Savage Technologist,<barbarianrage_1,1,Rage,"<p>A savage technologist can enter rage as a barbarian, except she gains a morale bonus to Strength and Dexterity instead of Strength and Constitution, and she does not take a penalty to Armor Class. She retains the bonus on Will saving throws. When a barbarian ability would increase the savage technologist&#146;s Strength while raging, it increases her Dexterity instead. This ability alters rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Wild Rager""]]",Barbarian (Wild Rager),Wild Rager,<barbarianimproveduncannydodge_5,5,Rage Conversion,"<p>At 5th level, a wild rager who fails a saving throw against any mind-affecting effect can attempt a new saving throw at the beginning of her next turn. If the save succeeds, that effect ends and she instead rages and becomes confused as noted above. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Wildborn""]]",Barbarian (Wildborn),Wildborn,<barbarianragepowers_4,4,Rage power,"<p>As a barbarian gains levels, she learns to use her rage in new ways. Starting at 2nd level, a barbarian gains a rage power. She gains another rage power for every two levels of barbarian attained after 2nd level. A barbarian gains the benefits of rage powers only while raging, and some of these powers require the barbarian to take an action first. Unless otherwise noted, a barbarian cannot select an individual power more than once.</p><p>Bonus Feats: At 4th level, 10th level and 16th level, a wildborn can choose a bonus feat from the following rather than select a rage power: Alertness, Animal Affinity, Athletic, Great Fortitude, Improvised Weapon Mastery, Iron Will, Lightning Reflexes, Self-Sufficient, Stealthy, or Throw Anything.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Drunken Brute""]]",Barbarian (Drunken Brute),Drunken Brute,<barbarianfastmovement_1,1,Raging Drunk (Ex),"<p>While raging, the drunken brute can drink a potion, or a tankard of ale or similar quantity of alcohol, as a move action that does not provoke attacks of opportunity. A potion has its normal effect, while an alcoholic drink allows the barbarian to maintain her rage that round without expending a round of rage for the day (instead of the alcohol&#146;s normal effects). For each alcoholic drink consumed while raging, the barbarian is nauseated for 1 round when her rage expires, in addition to the normal fatigue that follows a rage. Tireless rage does not negate this nauseated condition but the internal fortitude rage power does. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Pack Rager""]]",Barbarian (Pack Rager),Pack Rager,<barbariandamagereduction_7,7,"Raging Tactician (30ft., 1 feat)","<p>At 7th level, while a pack rager is raging, she grants a single teamwork feat she knows to all allies within 30 feet who can see and hear her. She chooses the feat at the start of the rage, and cannot change it during the rage. An ally who moves more than 30 feet away from the raging pack rager loses access to the feat, but regains it again each time he moves back within 30 feet of the raging pack rager. Allies do not need to meet the prerequisites of these teamwork feats.</p><p>At 13th level, the pack rager chooses two teamwork feats when she enters a rage, and grants her allies the use of both of those feats when they are within 30 feet of her.</p><p>At 16th level, the pack rager grants these teamwork feats as long as her allies are within 60 feet of her.</p><p>At 19th level, the pack rager chooses three teamwork feats when she enters a rage, and grants her allies the use of all three feats when they are within 60 feet of her.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Raging Cannibal""]]",Barbarian (Raging Cannibal),Raging Cannibal,<barbariantrapsense_6,6,Razor-Toothed Fury (Ex),"<p>At 6th level, a raging cannibal&#146;s bite becomes even more fearsome. When using her bite attack, the raging cannibal can take a &#150;1 penalty on her attack roll to add 2 points of bleed damage to the damage dealt. At 10th level and every 4 levels thereafter, the attack penalty increases by 1 and the bleed damage increases by 2 points.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Hateful Rager""]]",Barbarian (Hateful Rager),Hateful Rager,,2,Reduced Rage,"<p>At 2nd level and every level thereafter, a hateful rager only gains 1 additional round of rage per day instead of the normal 2 additional rounds of rage per day.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Armored Hulk""]]",Barbarian (Armored Hulk),Armored Hulk,<barbariantrapsense_3,3,Resilience of Steel (+1),"<p>At 3rd level, an armored hulk is able to use her armor to help avoid deadly hits. While wearing heavy armor, she gains a +1 bonus to AC that applies only on critical hit confirmation rolls. This bonus increases by +1 every 3 levels beyond 3rd (maximum +6 at 18th level). This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Feral Gnasher""]]",Barbarian (Feral Gnasher),Feral Gnasher,<barbarianfastmovement_1,1,Savage Bite (Ex),"<p>At 1st level, a feral gnasher gains a savage bite attack. This is a primary natural attack that deals 1d4 points of damage. If the goblin already has the hard head, big teeth racial trait, the damage increases to 1d6. At 10th level, the damage from a feral gnasher&#146;s bite increases to 1d6 (or 1d8 if the goblin has the hard head, big teeth racial trait) and deals &#215;3 damage on a critical hit. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Brutal Pugilist""]]",Barbarian (Brutal Pugilist),Brutal Pugilist,<barbarianuncannydodge_2,2,Savage Grapple (Ex),"<p>At 2nd level, the brutal pugilist takes only half the normal penalties to Dexterity, attack rolls, and combat maneuver checks when she has the grappled condition. She can make an attack of opportunity against creatures trying to grapple her even if they possess the Improved Grapple feat or the grab special attack. If she hits with this attack of opportunity, she gains a +2 circumstance bonus to her CMD against the grapple attempt. She cannot make these attacks of opportunity once a grapple has succeeded.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Beastkin Berserker""]]",Barbarian (Beastkin Berserker),Beastkin Berserker,<barbarianfastmovement_1,1,Savage Rapport (Ex),"<p>At 1st level, a beastkin berserker gains a spiritual connection to a specific kind of creature with the animal type (such as a badger or a triceratops). She adds half her level (minimum 1) on Handle Animal, Intimidate, and Sense Motive checks involving the chosen type of animal.</p><p>At 5th level and every 5 levels thereafter (10th, 15th, and 20th levels), the beastkin berserker can select an additional kind of animal to which these bonuses apply.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sea Reaver""]]",Barbarian (Sea Reaver),Sea Reaver,<barbariantrapsense_3,3,Savage Sailor (+1),"<p>At 3rd level, a sea reaver gains a +1 bonus on Acrobatics, Climb, Profession (sailor), Survival, and Swim checks made in aquatic terrain, including aboard a ship or along shorelines. These bonuses improve by +1 every three levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Scarred Rager""]]",Barbarian (Scarred Rager),Scarred Rager,<barbariantrapsense_3,3,Scarification (+1),"<p>At 3rd level, a scarred rager can ignore 1 point of bleed damage per round. This amount increases by 1 every three levels beyond 3rd. At 15th level, a scarred rager can ignore 1 bleed effect each round. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sharptooth""]]",Barbarian (Sharptooth),Sharptooth,<barbarianimproveduncannydodge_5,5,Scent of Blood (Keen Scent),"<p>At 2nd level, a sharptooth gains scent as per the universal monster rule. At 5th level, she also gains keen scent as per universal monster rule.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Sharptooth""]]",Barbarian (Sharptooth),Sharptooth,<barbarianuncannydodge_2,2,Scent of Blood (Scent),"<p>At 2nd level, a sharptooth gains scent as per the universal monster rule. At 5th level, she also gains keen scent as per universal monster rule.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Mooncursed""]]",Barbarian (Mooncursed),Mooncursed,<barbarianrage_1,1,Shifting Rage (Su),"<p>A mooncursed can call upon an animal totem or inner curse, transforming her into a savage beast. Starting at 1st level, she chooses bear, boar, crocodile, shark, tiger, or wolf. Once chosen, this animal can&#146;t be changed. When using rounds of her shifting rage, instead of the usual bonuses and penalties from rage, the mooncursed transforms into a Medium version of this animal&#146;s form as if under the influence of beast shape I, treating her class level as her caster level whenever relevant. Other aspects of rage aside from the bonuses and penalties, such as the skill restrictions on skills and effects that require concentration, still apply during a shifting rage.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
Barbarian,"[[""Barbarian""],[""Fearsome Defender""]]",Barbarian (Fearsome Defender),Fearsome Defender,<barbariantrapsense_3,3,Silent Threat (+1),"<p>At 3rd level, a fearsome defender exudes hostility, creating a threatening atmosphere in her presence. The fearsome defender gains a +1 bonus on Intimidate checks, and the DCs of Intimidate checks to demoralize her allies within 30 feet increase by 1. Both the bonus and the increase to DCs increase by 1 at 6th level and every 3 barbarian levels thereafter.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
